BLOCK;DATETIME;TX;DONAR;DONATION[BTC];DAYSUM[BTC];DAYRATE[AGS/BTC];RELATED_ADDR
278132;2014-01-01 15:53:46 UTC;24863e8d95b90e92bdbfe0fd2e11140a8bb2212e51ec42c8cf0ccb18b68f9ee6;17fgR4PZyWr7zTk8rYHfkfHdKqFjo4b38Y;1.0;40.98386186;121.99924002;
278136;2014-01-01 16:16:43 UTC;c8833c36257dddc6fa7a4e1dab1a280e5514f702ce12669a95dd5eea83be0427;1PKztBuJghnBnA7baWUqencPKxjCLLiLgH;1.5;42.48386186;117.69174885;
278136;2014-01-01 16:16:43 UTC;e251edc7bda7a608c796be69f3ff6c4b1ff33c01ad9951c6b07c8ab9ec10a5ef;1aQURHDuebbJEbpBQxkWRAdW8TX8ofU17;0.1;42.58386186;117.41537243;
278136;2014-01-01 16:16:43 UTC;f3ff7584192e76c64639edbea700c4de5d3c32c18c807876738a61effe8097f6;12R4ugAjWZB4JfKdk5RfvJAuZcZWRrYy4N;0.05;42.63386186;117.27767042;
278136;2014-01-01 16:16:43 UTC;da3ff62905bffc3264c94ef290913f14d0f720bcb9556dd835e5a496295e4cfd;1G789VVUsGjb7mMEF4WbHuYdwk3XpbQ1ka;0.1;42.73386186;117.00323309;
278137;2014-01-01 16:32:17 UTC;a4e70f19f19ba9a353ccefe0740cfce1c415842d94ba5a8f8cf857be13bbe492;1Haw1JeCd81kxoSX2og7QmB15NN959b4gT;0.1;42.83386186;116.73007716;
278138;2014-01-01 16:34:56 UTC;79b32e1438858c9bd2e458ce90b55a6943454c56d7ab5f83d56fce7316503bd0;15BJwmXx6bU8znS88C4BY4PQGe2jdjkiXa;1.0;43.83386186;114.06706568;
278142;2014-01-01 17:08:05 UTC;cc4b6a6fff610fce517a91700c336579815782394fcfd17bdb560c3532ad5b4b;1G52tTXZbPKhYkbXAoG3TZQGCYPJBPK9rt;1.41;45.24386186;110.5122285;
278142;2014-01-01 17:08:05 UTC;cf6c35dc22c6045857ca73ce27d87af53b92db365897e42db4582d244d555815;1HwTPVNLxHasdrbAWVxGuKy67579ZxoWGz;0.2;45.44386186;110.02586038;1Dzg9iWFfh5dtBXxjPUU1snXb9CRwEjura
278157;2014-01-01 18:56:47 UTC;ff778acf4be5ad287e722a62a20baf7fcee5b31112b52aa0eeff65d500e27d74;1PQV79FF7Gt3Fp9bY6JCxPo8jwM93HdWra;0.1;45.54386186;109.78427818;
278165;2014-01-01 20:11:57 UTC;9f2653cfd8c8460104accbfe6060557aea3d108e791e39b5658caca28698883f;1CFABF7eKhu7WyhkHWCyoVMCJhzW5ac6yY;0.4;45.94386186;108.82846582;
278167;2014-01-01 20:32:34 UTC;0434b9d4857b8c2068f4879162fbe135e2da97a3cf7e15a7b2846c6f4353d7f0;1JMJyeUyaMzhGvmZjG7R9qsM5f3kmg9KDf;0.21002;46.15388186;108.33324952;1BTojSpAc1dVFuyHvAqGUHYxu3F78bPQkn,1JoR9JpxBsspfCgiycCP4hgMT7JLdxaemN
278169;2014-01-01 20:49:55 UTC;2bdc1ac05e1c03053b0bfc911fac89531979da3a357bab302a4ccb80e97dfd6d;1CdJuMwCXDpSm6uUpHprY9cgp6yhwY9z9c;0.07401206;46.22789392;108.15980517;
278169;2014-01-01 20:49:55 UTC;a64902a1f2688ac0eebc630b666b258ac26bd1f34f6fe1f6895790c07f3a58de;1DRawF6w6cgy8GC9pJWdM9Vsq1L5NGtjs4;0.3;46.52789392;107.46241832;
278173;2014-01-01 21:12:55 UTC;6e09db0e0b063e40e8debfa402b7410c09f8c3d7686fce0b918f5f4390346c7f;15LUhjZuheR3J9T8SrKkAPvjizVHqzvgWq;2.0;48.52789392;103.03352559;
278173;2014-01-01 21:12:55 UTC;a778a031bb251c0045f1ab5c606844a9d44108d922bc1bbb9e852878bb5a9ed6;1D1NtJ21wVhdF9rsyRSJ9EUewLncEqiiLd;0.25;48.77789392;102.50545069;
278174;2014-01-01 21:33:08 UTC;ddee0cad1310f5bc34c8f8f70236d4390d79b4edd9df0257ce4098586db6dff6;1BZdPdwda3huiYJUPtnRRrYcoZBe35GSm6;0.02;48.79789392;102.46343845;
278177;2014-01-01 21:45:28 UTC;683b10b2823b1caa82ee77172248a619b9e9da67fa89f04488082c317d3ce6de;1LmizStNV9RH6xpuvyvYFDRHfFFxJHHSiG;3.0;51.79789392;96.52902119;
278177;2014-01-01 21:45:28 UTC;8af58ebde857ff98892f27f42c908ea2fd7edc90817bf2883aed04df39bfc231;1bL8zTKMSbN6CnLxRyjYoLCikaEkviPkL;4.0;55.79789392;89.60911692;
278177;2014-01-01 21:45:28 UTC;816a00e232ede543ab233cc3456e0d8ad1dc5ebb2fc9ee974ef94777cdb19d44;1PKztBuJghnBnA7baWUqencPKxjCLLiLgH;1.5;57.29789392;87.26324229;
278178;2014-01-01 21:48:28 UTC;1faa3eec41087d899a88141049607c04b66d82503a8963222121caa20cb9715a;1KKh29VUMuMFwVwHHvyevf9RbdNFrRPoRe;0.0149;57.31279392;87.24055587;
278180;2014-01-01 22:12:02 UTC;ccbf53b2f4c25b06e5e75f05f56ca43707bd9818f865bd39374d6c1feb04edb5;18XtwinXeDa4VS6XWAF8YfDMq3s6WtxayX;0.999;58.31179392;85.74594716;
278187;2014-01-01 23:02:38 UTC;9e0c0a0afb530fa451f199cb42588443f4fb540c494155cb0ad6c44e2af69edd;1jKkmvXaJwwq6ArwHRRrd9BrnECyPzH93;0.15;58.46179392;85.52594207;
